marca_fonte,grupo_economico,vigencia_inicio,vigencia_fim,fonte,observacao
DENZA,BYD,2021-12,,BYD passa a deter 90% da Denza em 12/2021,
JAECOO,CHERY,2024-01,,"Marca Jaecoo, do grupo Chery",
FARIZON,GEELY,2016-01,,"Farizon Auto, marca de comerciais do grupo Geely",
RADAR,GEELY,2021-01,,"Radar Auto, do grupo Geely",
RIDDARA,GEELY,2023-01,,Marca de exportacao da Radar Auto (Geely),
LEAPMOTOR,LEAPMOTOR,2015-12,,marca independente; sem evento societario no periodo coberto,Stellantis detem participacao minoritaria e a JV de exportacao desde 2024; nao e' controle -- ver QUESTOES_ABERTAS.md Q3
CAOA CHANGAN,CAOA CHANGAN,2025-01,,Joint venture CAOA + Changan,Controle compartilhado -- ver QUESTOES_ABERTAS.md Q3
TESLA,TESLA,2003-01,,marca independente; sem evento societario no periodo coberto,
MCLAREN,MCLAREN,2003-01,,marca independente; sem evento societario no periodo coberto,
GMC,GENERAL MOTORS,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
INTERNATIONAL,NAVISTAR,2003-01,2021-06,propriedade estavel no periodo coberto; sem evento datado a registrar,
INTERNATIONAL,VOLKSWAGEN,2021-07,,"Aquisicao da Navistar pela Traton (grupo VW), 01/07/2021",
BAIC,BAIC,2003-01,,marca independente; sem evento societario no periodo coberto,
DFM,DONGFENG,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,Dongfeng Motor; DFM e' a sigla usada pela fonte
PONTIAC,GENERAL MOTORS,2003-01,2010-10,"Marca da General Motors, encerrada em 31/10/2010","Aparece uma vez na serie, na edicao defeituosa de 2013-11; a atribuicao de grupo nao corrige o defeito, so' registra de quem a marca era"
BUICK,GENERAL MOTORS,2003-01,,"Marca da General Motors","propriedade estavel no periodo coberto"
HUMMER,GENERAL MOTORS,2003-01,2010-05,"Marca da General Motors, encerrada em 2010","propriedade estavel ate' o encerramento"
DAEWOO,GENERAL MOTORS,2003-01,,"GM Daewoo Auto & Technology, sob controle da GM desde 2002","propriedade estavel no periodo coberto"
ISUZU,ISUZU,2003-01,,"Isuzu Motors","marca independente; sem evento societario no periodo coberto"
MAZDA,MAZDA,2003-01,,"Mazda Motor Corporation","Ford deteve participacao ate' 2015, sem controle; ver QUESTOES_ABERTAS.md Q3"
MCC,MERCEDES-BENZ,2003-01,,"Micro Compact Car AG, fabricante do Smart, do grupo Daimler","propriedade estavel no periodo coberto"
